order_id,order_date,user_id,country,customer_gender,customer_age,traffic_source,department,category,brand,product_name,revenue,cost,profit
2,2025-12-30,1,France,F,36,Search,Women,Pants & Capris,Eddie Bauer,Eddie Bauer Curvy Blakely Wrinkle-Free Pants,79.95,39.26,40.69
2,2025-12-27,1,France,F,36,Search,Women,Skirts,2b by bebe,2B Sequin Mini Skirt,34.95,13.0,21.95
2,2025-12-27,1,France,F,36,Search,Women,Accessories,DPC/Scalar,Wool Beret - Black W08S63E,9.96,3.54,6.42
2,2025-12-29,1,France,F,36,Search,Women,Clothing Sets,Orvis,Scrunch Cloth Pants Set / Pants - Regular,59.0,38.94,20.06
6,2025-10-11,5,South Korea,F,17,Search,Women,Jumpsuits & Rompers,eVogues Apparel,Plus Size Strapless Smocked Romper,29.99,15.83,14.16
7,2024-03-26,6,China,M,30,Search,Men,Tops & Tees,Wrangler,Wrangler Men's Big-Tall Authentic Cowboy Cut Shirt,39.99,23.39,16.6
9,2025-09-15,9,China,M,39,Search,Men,Socks,Wrightsock,Wrightsock Unisex 3-Pack Merino Trl Crew Socks,42.0,23.52,18.48
10,2025-08-21,9,China,M,39,Search,Men,Suits & Sport Coats,Haggar,Haggar Men's Hopsack Blazer,109.99,46.75,63.24
11,2024-09-04,9,China,M,39,Search,Men,Socks,PUMA,Puma Men's Socks,12.0,7.09,4.91
11,2024-09-05,9,China,M,39,Search,Men,Jeans,575 Denim,New 575 Denim Men's Jeans Dark Wash Relaxed Straight Leg M3N,89.99,45.8,44.19
15,2024-11-06,13,United States,F,48,Organic,Women,Intimates,SEX NIGHT,Sexy Transparent Mesh Babydoll Set-Black,22.0,11.42,10.58
22,2024-01-16,17,South Korea,M,62,Search,Men,Underwear,C-IN2,C-IN2 Men's Grip Compression,30.0,13.08,16.92
23,2024-12-12,18,China,F,12,Search,Women,Sleep & Lounge,Up2date Fashion,White Cotton Gown/House Dress Sizes (M L XL 2X) Up2date Fash,12.99,8.38,4.61
28,2025-07-25,22,Colombia,F,31,Search,Women,Skirts,FineBrandShop,Fuchsia Fold-Over Maxi Jersey Skirt,14.9,6.18,8.72
28,2025-07-27,22,Colombia,F,31,Search,Women,Shorts,DC,DC Belk Board Short - Women's,45.0,21.2,23.8
29,2024-11-27,23,China,F,42,Search,Women,Intimates,Laura,3-Piece Matching Set Laura High Quality Lace Bra Thong & Bik,39.95,21.73,18.22
32,2024-06-10,23,China,F,42,Search,Women,Dresses,Allegra K,Allegra K Woman Cutout Shoulder Batwing Sleeve Stripe Hem Dr,10.75,5.07,5.68
35,2025-04-18,26,Brasil,M,45,Search,Men,Jeans,Levi's,Levi's Men's 527 Slim Boot Cut Jean,58.0,33.06,24.94
35,2025-04-22,26,Brasil,M,45,Search,Men,Sweaters,Affliction,Affliction - Mens Contrast Reversiblethermal In Blk/Dirty Re,57.95,31.87,26.08
37,2024-05-23,28,China,M,43,Display,Men,Outerwear & Coats,Columbia,Columbia Men's Tall Ballistic Iii Fleece Jacket,119.95,55.9,64.05
40,2024-03-14,28,China,M,43,Display,Men,Shorts,Quiksilver,Quiksilver Men's Soft Pack Walkshort,50.0,23.75,26.25
40,2024-03-17,28,China,M,43,Display,Men,Pants,Allegra K,Allegra K Men Drawstring Waist Baggy Pockets Trousers Sports,20.14,8.62,11.52
40,2024-03-17,28,China,M,43,Display,Men,Underwear,Equmen,Equmen Core Precision Crew Neck Undershirt EQM002211,99.0,41.98,57.02
40,2024-03-18,28,China,M,43,Display,Men,Outerwear & Coats,Scottevest,Expedition Jacket,200.0,95.6,104.4
41,2024-12-05,29,Australia,F,39,Search,Women,Dresses,Moonar,Moonar Chiffon Sweetheart A Line Prom Formal Gown Party Brid,68.13,31.61,36.52
42,2024-03-25,29,Australia,F,39,Search,Women,Plus,Bali,Bali Women's Smooth Compliments Underwire Bra   #3100,34.0,17.48,16.52
42,2024-03-21,29,Australia,F,39,Search,Women,Tops & Tees,Neon Buddha,Neon Buddha Women's Plus Size Cowl Neck Tunic,50.0,28.5,21.5
44,2025-03-22,32,United States,M,48,Search,Men,Active,Hot Chillys,Hot Chillys Men's Mec Ankle Tight,55.0,23.87,31.13
47,2025-01-09,34,China,M,47,Search,Men,Shorts,IZOD,IZOD Men's Saltwater Cargo Short,29.99,14.1,15.89
56,2024-07-21,43,China,F,40,Search,Women,Socks & Hosiery,Nine West,Nine West Women's Animal Print Solid Tipped 3 Pair Pack Crew,14.0,5.0,9.0
57,2024-10-18,43,China,F,40,Search,Women,Sweaters,Orvis,Countryside Cashmere Cardigan / Regular,225.0,100.35,124.65
58,2025-09-28,44,United States,M,44,Search,Men,Tops & Tees,Calvin Klein Jeans,Calvin Klein Jeans Men's Brave The Cool Tee,34.5,19.53,14.97
60,2025-10-21,46,China,F,65,Search,Women,Intimates,Carol Wright Gifts,Ahh Bra,19.98,11.13,8.85
63,2025-11-21,47,Belgium,M,60,Search,Men,Shorts,Allegra K,Allegra K Mens Patch Pocket Loose Casual Trousers Jogging Sp,10.75,5.71,5.04
63,2025-11-21,47,Belgium,M,60,Search,Men,Jeans,Girbaud,Girbaud Raw Black Jeans,64.0,36.54,27.46
67,2025-03-19,48,United States,M,27,Search,Men,Tops & Tees,Van Heusen,Van Heusen Men's Jaspe Diamond Polo Shirt,50.0,27.75,22.25
67,2025-03-20,48,United States,M,27,Search,Men,Tops & Tees,Chestnut Hill,Chestnut Hill CH605 Mens Performance Plus Twill,18.35,10.97,7.38
72,2025-09-07,51,United Kingdom,M,63,Email,Men,Underwear,New Balance,New Balance Men's Performance Underwear 9 Inch Inseam Boxer ,14.99,6.58,8.41
